authors,title,journal,year,month,volume_issue,pages,doi,url,featured,ignore,themes,lab_authors,pdf_url,code_url,brief_url,ppt_url,press_url,image_filename,summary,abstract
"AghaKouchak, A.; Pan, B.; Mazdiyasni, O.; Sadegh, M.; Jiwa, S.; Zhang, W.; Love, C.A.; Madadgar, S.; Papalexiou, S.M.; Davis, S.J.; Hsu, K.; Sorooshian, S.",Status and prospects for drought forecasting: opportunities in artificial intelligence and hybrid physical‚Äìstatistical forecasting,Philosophical Transactions of the Royal Society A,2022,12,380(2238),20210288,10.1098/rsta.2021.0288/373559,https://doi.org/10.1098/rsta.2021.0288/373559/rsta.2021.0288.pdf,FALSE,,"water,impacts",steve-davis,,,,,,,Machine learning approaches that learn patterns from observed droughts could improve forecasting more than traditional models based on assumed physical processes.,"Despite major improvements in weather and climate modelling and substantial increases in remotely sensed observations, drought prediction remains a major challenge. After a review of the existing methods, we discuss major research gaps and opportunities to improve drought prediction. We argue that current approaches are top-down, assuming that the process(es) and/or driver(s) are known‚Äîi.e. starting with a model and then imposing it on the observed events (reality). With the help of an experiment, we show that there are opportunities to develop bottom-up drought prediction models‚Äîi.e. starting from the reality (here, observed events) and searching for model(s) and driver(s) that work. Recent advances in artificial intelligence and machine learning provide significant opportunities for developing bottom-up drought forecasting models. Regardless of the type of drought forecasting model (e.g. machine ‚Ä¶"
"AghaKouchak, Amir; Huning, Laurie S.; Sadegh, Mojtaba; Qin, Yue; Markonis, Yannis; Vahedifard, Farshid; Love, Charlotte A.; Mishra, Ashok; Mehran, Ali; Obringer, Renee; Hjelmstad, Annika; Pallickara, Shrideep; Jiwa, Shakil; Hanel, Martin; Zhao, Yunxia; Pendergrass, Angeline G.; Arabi, Mazdak; Davis, Steven J.; Ward, Philip J.; Svoboda, Mark; Pulwarty, Roger; Kreibich, Heidi",Toward impact-based monitoring of drought and its cascading hazards,Nature Reviews Earth and Environment,2023,8,4(8),582-595,10.1038/s43017-023-00457-2,https://doi.org/10.1038/s43017-023-00457-2,FALSE,,"water,impacts",steve-davis,,,,,,,Current drought monitoring focuses on hazards rather than impacts; integrating cascading hazards could better serve food and water security planning.,"Growth in satellite observations and modelling capabilities has transformed drought monitoring, offering near-real-time information. However, current monitoring efforts focus on hazards rather than impacts, and are further disconnected from drought-related compound or cascading hazards such as heatwaves, wildfires, floods and debris flows. In this Perspective, we advocate for impact-based drought monitoring and integration with broader drought-related hazards. Impact-based monitoring will go beyond top-down hazard information, linking drought to physical or societal impacts such as crop yield, food availability, energy generation or unemployment. This approach, specifically forecasts of drought event impacts, would accordingly benefit multiple stakeholders involved in drought planning, and risk and response management, with clear benefits for food and water security. Yet adoption and implementation is ‚Ä¶"
"Andres, R.J.; Boden, T.A.; Br√©on, F.M.; Ciais, P.; Davis, S.; Erickson, D.; Gregg, J.S.; Jacobson, A.; Marland, G.; Miller, J.; Oda, T.; Olivier, J.G.J.; Raupach, M.R.; Rayner, P.; Treanton, K.",A synthesis of carbon dioxide emissions from fossil-fuel combustion,Biogeosciences Discuss,2012,1,9,1299-1376,10.5194/bg-9-1845-2012,https://doi.org/10.5194/bg-9-1845-2012,FALSE,,emissions,steve-davis,,,,,,,"Global fossil-fuel emissions continue rising despite reduction efforts, though national totals carry uncertainties ranging from a few to over 50 percent.","This synthesis discusses the emissions of carbon dioxide from fossil-fuel combustion and cement production. While much is known about these emissions, there is still much that is unknown about the details surrounding these emissions. This synthesis explores our knowledge of these emissions in terms of why there is concern about them; how they are calculated; the major global efforts on inventorying them; their global, regional, and national totals at different spatial and temporal scales; how they are distributed on global grids (i.e., maps); how they are transported in models; and the uncertainties associated with these different aspects of the emissions. The magnitude of emissions from the combustion of fossil fuels has been almost continuously increasing with time since fossil fuels were first used by humans. Despite events in some nations specifically designed to reduce emissions, or which have had emissions reduction as a byproduct of other events, global total emissions continue their general increase with time. Global total fossil-fuel carbon dioxide emissions are known to within 10 % uncertainty (95 % confidence interval). Uncertainty on individual national total fossil-fuel carbon dioxide emissions range from a few percent to more than 50 %. This manuscript concludes that carbon dioxide emissions from fossil-fuel combustion continue to increase with time and that while much is known about the overall characteristics of these emissions, much is still to be learned about the detailed characteristics of these emissions."
"Andrew, Robbie M.; Davis, Steven J.; Peters, Glen P.",Climate policy and dependence on traded carbon,Environmental Research Letters,2013,7,8(3),34011,10.1088/1748-9326/8/3/034011,https://doi.org/10.1088/1748-9326/8/3/034011,FALSE,,"trade,emissions",steve-davis,,,,,,,"Carbon emissions embedded in traded goods are growing faster than those in domestically produced goods, undermining national climate policies.","A growing number of countries regulate carbon dioxide (CO‚ÇÇ ) emissions occurring within their borders, but due to rapid growth in international trade, the products consumed in many of the same countries increasingly rely on coal, oil and gas extracted and burned in other countries where CO‚ÇÇ is not regulated. As a consequence, existing national and regional climate policies may be growing less effective every year. Furthermore, countries that are dependent on imported products or fossil fuels are more exposed to energy and climate policies in other countries. We show that the combined international trade in carbon (as fossil fuels and also embodied in products) increased from 12.3 GtCO 2 (55% of global emissions) in 1997 to 17.6 GtCO 2 (60%) in 2007 (growing at 3.7% yr ‚àí1 ). Within this, trade in fossil fuels was larger (10.8 GtCO 2 in 2007) than trade in embodied carbon (6.9 GtCO 2 ), but the latter grew ‚Ä¶"
"Arellano-Gonzalez, Jesus; AghaKouchak, Amir; Levy, Morgan C.; Qin, Yue; Burney, Jennifer A.; Davis, Steven J.; Moore, Frances C.",The adaptive benefits of agricultural water markets in California,Environmental Research Letters,2021,1,,,10.1088/1748-9326/abde5b,https://iopscience.iop.org/article/10.1088/1748-9326/abde5b/meta,FALSE,,water,steve-davis,,,,,,,Water markets in California's Central Valley could reduce drought losses by allocating scarce water to higher-value crops more efficiently.,"Climate change is expected to increase the scarcity and variability of fresh water supplies in some regions with important implications for irrigated agriculture. By allowing for increased flexibility in response to scarcity and by incentivizing the allocation of water to higher value use, markets can play an important role in limiting the economic losses associated with droughts. Using data on water demand, the seniority of water rights, county agricultural reports, high-resolution data on cropping patterns, and agronomic estimates of crop water requirements, we estimate the benefits of market-based allocations of surface water for California‚Äôs Central Valley. Specifically, we estimate the value of irrigation water and compare the agricultural costs of water shortages under the existing legal framework and under an alternate system that allows for trading of water. We find that a more efficient allocation of curtailments could ‚Ä¶"
"Arent, Douglas J.; Barrows, Clayton; Davis, Steven; Grim, Gary; Schaidle, Joshua; Kroposki, Ben; Ruth, Mark; Zandt, Brooke V.",Integration of energy systems,MRS Bulletin,2022,1,,,10.1557/s43577-021-00244-8,https://link.springer.com/article/10.1557/s43577-021-00244-8,FALSE,,energy,steve-davis,,,,,,,"Decarbonizing the economy requires integrating renewable electricity across sectors like hydrogen, transportation, and industry through new materials and processes.","This article in MRS Bulletin and the framework set out in the introductory article articulate a scenario of renewable electrons and electrification of end use appliances and industrial processes as a plausible paradigm to realize a carbon-free energy economy. The subsequent articles cover specific sectoral or chemical applications of those renewable electrons (e.g., for hydrogen, transportation, building use, electrochemical storage, and within the chemical industry). This article addresses the intersections among and across those sectors. We describe the importance of considering integrated systems and systems of systems as we consider pathways to a decarbonized energy economy. Further, we review and summarize key insights into the innovation challenges that reside at the particular integration interfaces among sectors, and highlight the opportunity for advances in materials and processes that will be critical to ‚Ä¶"
"Arzeno-Soltero, Isabella B.; Saenz, Benjamin T.; Frieder, Christina A.; Long, Matthew C.; DeAngelo, Julianne; Davis, Steven J.; Davis, Kristen A.",Large global variations in the carbon dioxide removal potential of seaweed farming due to biophysical constraints,Communications Earth & Environment,2023,6,4,185,10.1038/s43247-023-00833-2,https://doi.org/10.1038/s43247-023-00833-2,FALSE,,"carbon management,food",steve-davis,,,,,,,"Seaweed farming's carbon removal potential drops sharply outside tropical waters due to nutrient limits, requiring vast areas for meaningful climate impact.","Estimates suggest that over 4 gigatons per year of carbon dioxide (Gt-CO‚ÇÇ year ‚àí1 ) be removed from the atmosphere by 2050 to meet international climate goals. One strategy for carbon dioxide removal is seaweed farming; however its global potential remains highly uncertain. Here, we apply a dynamic seaweed growth model that includes growth-limiting mechanisms, such as nitrate supply, to estimate the global potential yield of four types of seaweed. We estimate that harvesting 1 Gt year ‚àí1 of seaweed carbon would require farming over 1 million km 2 of the most productive exclusive economic zones, located in the equatorial Pacific; the cultivation area would need to be tripled to attain an additional 1 Gt year ‚àí1 of harvested carbon, indicating dramatic reductions in carbon harvest efficiency beyond the most productive waters. Improving the accuracy of annual harvest yield estimates requires better understanding ‚Ä¶"
"Ayompe, Lacour M.; Davis, Steven J.; Egoh, Benis N.",Trends and drivers of African fossil fuel CO‚ÇÇ emissions 1990-2017,Environmental Research Letters,2020,10,,,10.1088/1748-9326/abc64f,https://doi.org/10.1088/1748-9326/abc64f/pdf,FALSE,,emissions,steve-davis,,,,,,,"African fossil fuel emissions nearly doubled from 1990–2017, driven primarily by economic growth rather than population increases.","International efforts to avoid dangerous climate change aim for global carbon dioxide (CO‚ÇÇ ) emissions to be net-zero by midcentury. Such a goal will require both drastically reducing emissions from high-income countries and avoiding large increases in emissions from still-developing countries. Yet most analyses focus on rich-country emissions reductions, with much less attention to trends in low-income countries. Here, we use a Kaya framework to analyze patterns and trends in CO‚ÇÇ emissions from the combustion of fossil fuels in Africa between 1990 and 2017. In total, African CO‚ÇÇ emissions were just 4% of global fossil fuel emissions in 2017, or 1185 MtCO 2 , having grown by 4.6% yr ‚àí1 on average over the period 1990‚Äì2017 (cf the global growth rate of 2.2% yr ‚àí1 over the same period). In 2017, 10 countries accounted for about 87% of the continent‚Äôs emissions. Despite modest recent reductions in some ‚Ä¶"
"Azevedo, In√™s; Bataille, Christopher; Bistline, John; Clarke, Leon; Davis, Steven",Introduction to the special issue on Net-Zero Energy Systems,Energy and Climate Change,2021,12,2,100066,10.1016/j.egycc.2021.100066,https://www.sciencedirect.com/science/article/pii/S266627872100043X,FALSE,IGNORE,"energy,emissions",steve-davis,,,,,,,"Achieving net-zero emissions requires rapid development of integrated energy systems, though most research on this transition is still emerging.","This article introduces the Energy and Climate Change special issue on ‚ÄúNet-Zero Energy Systems.‚Äù Net-zero emissions energy systems are important for limiting global temperature change to any level. Although net-zero emissions pledges by countries, subnational jurisdictions, and other entities have grown, detailed research on net-zero energy systems has only recently emerged in the literature. This introductory article motivates the special issue and summarizes key insights."
"Azevedo, In√™s; Bataille, Christopher; Bistline, John; Clarke, Leon; Davis, Steven",Net-zero emissions energy systems: What we know and do not know,Energy and Climate Change,2021,8,2,100049,10.1016/j.egycc.2021.100049,https://doi.org/10.1016/j.egycc.2021.100049&title=Energy+and+Climate+Change&volume=2&date=2021&spage=100049&issn=2666-2787,FALSE,,"energy,emissions",steve-davis,,,,,,,"Net-zero energy systems require rapid transformation, but significant gaps remain in understanding their technologies, economics, and social impacts.","Addressing climate change requires ambitious transformations, including ambitious transformations of energy systems. This will likely entail the design and implementation of ‚Äúnet-zero emissions systems,‚Äù which are energy systems that emit no net CO‚ÇÇ and potentially no net greenhouse gases. Interest in net-zero emissions energy systems has grown in recent years as countries, subnational jurisdictions, and other entities set net-zero goals. However, guidance on designing and preparing for these systems, along with their environmental, economic, and social implications, is largely missing. This paper provides a perspective on the current understanding of net-zero emissions systems and guidance for policy- and decision-makers on key characteristics of these systems. We highlight robust insights emerging about net-zero systems and unknowns about technologies, markets, policies, and sociotechnical systems ‚Ä¶"
